table	colonne	data_type	cast_sql
cus_comm_method	comm_id	numeric	::numeric
cus_comm_method	valid_from	date	::date
cus_comm_method	valid_to	date	::date
cus_ident_invoice_info	amount_tolerance	numeric	::numeric
cus_ident_invoice_info	expire_date	date	::date
cus_ident_invoice_info	no_invoice_copies	numeric	::numeric
cus_ident_invoice_info	paym_dev_days	numeric	::numeric
cus_ident_invoice_info	percent_tolerance	numeric	::numeric
cus_ident_invoice_info	tax_book_type	numeric	::numeric
cus_ident_invoice_info	tax_exempt_valid_from	date	::date
cus_ident_invoice_info	tax_exempt_valid_to	date	::date
cus_identity_pay_info	amount_tolerance	numeric	::numeric
cus_identity_pay_info	comm_id	numeric	::numeric
cus_identity_pay_info	disc_days_tolerance	numeric	::numeric
cus_identity_pay_info	format_no	numeric	::numeric
cus_identity_pay_info	next_payment_matching_id	numeric	::numeric
cus_identity_pay_info	payment_delay	numeric	::numeric
cus_identity_pay_info	percent_tolerance	numeric	::numeric
cus_identity_pay_info	priority	numeric	::numeric
cus_payment_address	bank_account_valid_date	date	::date
cust_ord_customer_address	delivery_time	date	::date
customer_credit_info	allowed_due_amount	numeric	::numeric
customer_credit_info	allowed_due_days	numeric	::numeric
customer_credit_info	credit_limit	numeric	::numeric
customer_credit_info	last4q_sales	numeric	::numeric
customer_credit_info	next_review_date	date	::date
customer_del_tax_exempt	certificate_amount	numeric	::numeric
customer_delivery_tax_info	tax_book_type	numeric	::numeric
customer_document_tax_info	validated_date	date	::date
customer_info	picture_id	numeric	::numeric
customer_info_address	valid_from	date	::date
customer_info_address	valid_to	date	::date
customer_tax_info	tax_exempt_valid_from	timestamp without time zone	::timestamp
customer_tax_info	tax_exempt_valid_to	timestamp without time zone	::timestamp
ifs_article_maitre	nombre_centres_actifs	bigint	::bigint
ifs_article_maitre	nombre_magasins	bigint	::bigint
ifs_article_maitre	stock_total_bloque	numeric	::numeric
ifs_article_maitre	stock_total_controle	numeric	::numeric
ifs_article_maitre	stock_total_libre	numeric	::numeric
ifs_article_maitre	valeur_stock_magasins_total	numeric	::numeric
invent_part_plan	carry_rate	numeric	::numeric
invent_part_plan	maxweek_supply	numeric	::numeric
invent_part_plan	mul_order_qty	numeric	::numeric
invent_part_plan	service_rate	numeric	::numeric
invent_part_plan	setup_cost	numeric	::numeric
invent_part_plan	shrinkage_fac	numeric	::numeric
inventory_part	count_variance	numeric	::numeric
inventory_part	cycle_period	numeric	::numeric
inventory_part	expected_leadtime	numeric	::numeric
inventory_part	manuf_leadtime	numeric	::numeric
inventory_part	purch_leadtime	numeric	::numeric
inventory_part	qty_calc_rounding	numeric	::numeric
jt_task	fixed_start	timestamp without time zone	::timestamp
maint_material_req_line	cf_alt_on_hand_qty	numeric	::numeric
maint_material_req_line	cf_ecartqtedispo	numeric	::numeric
maint_material_req_line	cf_on_supply_qty	numeric	::numeric
maint_material_req_line	changes_line_item_no	numeric	::numeric
maint_material_req_line	consumed_qty	numeric	::numeric
maint_material_req_line	discount	numeric	::numeric
maint_material_req_line	fbuy_unit_price	numeric	::numeric
maint_material_req_line	is_closed	numeric	::numeric
maint_material_req_line	job_id	numeric	::numeric
maint_material_req_line	list_price	numeric	::numeric
maint_material_req_line	list_price_curr	numeric	::numeric
maint_material_req_line	markup	numeric	::numeric
maint_material_req_line	pegged_qty	numeric	::numeric
maint_material_req_line	pickup_task_id	numeric	::numeric
maint_material_req_line	price_effective_date	timestamp without time zone	::timestamp
maint_material_req_line	qty	numeric	::numeric
maint_material_req_line	qty_assigned	numeric	::numeric
maint_material_req_line	qty_changed	numeric	::numeric
maint_material_req_line	qty_returned	numeric	::numeric
maint_material_req_line	qty_short	numeric	::numeric
maint_material_req_line	qty_to_invoice	numeric	::numeric
maint_material_req_line	quo_spare_seq	numeric	::numeric
maint_material_req_line	quo_task_seq	numeric	::numeric
maint_material_req_line	quotation_rev	numeric	::numeric
maint_material_req_line	rental_task_res_seq	numeric	::numeric
maint_material_req_line	rwo_equip_object_seq	numeric	::numeric
maint_material_req_line	sale_unit_price	numeric	::numeric
maint_material_req_line	sale_unit_price_curr	numeric	::numeric
maint_material_req_line	task_plan_line_seq	numeric	::numeric
maint_material_req_line	tool_fac_row_no	numeric	::numeric
maint_material_req_line	wo_quo_no	numeric	::numeric
manuf_part_attribute	component_scrap	numeric	::numeric
manuf_part_attribute	shrinkage_factor	numeric	::numeric
project_activity	early_finish	timestamp without time zone	::timestamp
project_activity	early_start	timestamp without time zone	::timestamp
project_activity	task_id	numeric	::numeric
project_base	work_day_to_hours_conv	numeric	::numeric
purchase_part	acquisition_origin	numeric	::numeric
purchase_part	close_tolerance	numeric	::numeric
purchase_part	date_cre	timestamp without time zone	::timestamp
purchase_part	note_id	numeric	::numeric
purchase_part	over_delivery_tolerance	numeric	::numeric
purchase_part	qc_date	timestamp without time zone	::timestamp
purchase_part	standard_pack_size	numeric	::numeric
sales_part	close_tolerance	numeric	::numeric
sales_part	conv_factor	numeric	::numeric
sales_part	cost	numeric	::numeric
sales_part	expected_average_price	numeric	::numeric
sales_part	inverted_conv_factor	numeric	::numeric
sales_part	list_price	numeric	::numeric
sales_part	list_price_incl_tax	numeric	::numeric
sales_part	minimum_qty	numeric	::numeric
sales_part	price_change_date	timestamp without time zone	::timestamp
sales_part	price_conv_factor	numeric	::numeric
sales_part	rental_list_price	numeric	::numeric
sales_part	rental_list_price_incl_tax	numeric	::numeric
