table_cible;variante;colonne;type_valeur_defaut;valeur_par_defaut;regle_sql;script_source;ligne_insert
clean_data.cus_comm_method;STANDARD;address_default;CONSTANTE_FORCEE;FALSE;'FALSE';sp_insert_cus_comm_method_from_client_phl.sql;18
clean_data.cus_comm_method;STANDARD;comm_id;NULL_EXPLICITE;;NULL::NUMERIC;sp_insert_cus_comm_method_from_client_phl.sql;18
clean_data.cus_comm_method;STANDARD;description;NULL_EXPLICITE;;NULL;sp_insert_cus_comm_method_from_client_phl.sql;18
clean_data.cus_comm_method;STANDARD;method_default;CONSTANTE_FORCEE;FALSE;'FALSE';sp_insert_cus_comm_method_from_client_phl.sql;18
clean_data.cus_comm_method;STANDARD;method_id;NULL_EXPLICITE;;NULL;sp_insert_cus_comm_method_from_client_phl.sql;18
clean_data.cus_comm_method;STANDARD;method_id_db;CONSTANTE_FORCEE;PHONE;'PHONE';sp_insert_cus_comm_method_from_client_phl.sql;18
clean_data.cus_comm_method;STANDARD;party_type;NULL_EXPLICITE;;NULL;sp_insert_cus_comm_method_from_client_phl.sql;18
clean_data.cus_comm_method;STANDARD;party_type_db;CONSTANTE_FORCEE;CUSTOMER;'CUSTOMER';sp_insert_cus_comm_method_from_client_phl.sql;18
clean_data.cus_comm_method;STANDARD;valid_from;NULL_EXPLICITE;;NULL::DATE;sp_insert_cus_comm_method_from_client_phl.sql;18
clean_data.cus_comm_method;STANDARD;valid_to;NULL_EXPLICITE;;NULL::DATE;sp_insert_cus_comm_method_from_client_phl.sql;18
clean_data.cus_comm_method;STANDARD;value;NULL_EXPLICITE;;NULL;sp_insert_cus_comm_method_from_client_phl.sql;18
clean_data.cus_ident_invoice_info;STANDARD;amount_tolerance;NULL_EXPLICITE;;NULL;sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;automatic_invoice;CONSTANTE_FORCEE;N;'N';sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;company;CONSTANTE_FORCEE;TRIMET;'TRIMET';sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;def_authorizer;NULL_EXPLICITE;;NULL;sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;def_currency;CONSTANTE_FORCEE;EUR;'EUR';sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;def_preliminary_code;NULL_EXPLICITE;;NULL;sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;def_vat_code;NULL_EXPLICITE;;NULL;sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;expire_date;NULL_EXPLICITE;;NULL;sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;group_id;CONSTANTE_FORCEE;0;'0';sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;identity_type_db;CONSTANTE_FORCEE;EXTERN;'EXTERN';sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;invoice_fee;CONSTANTE_FORCEE;FALSE;'FALSE';sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;national_bank_code;NULL_EXPLICITE;;NULL;sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;ncf_reference_check;CONSTANTE_FORCEE;FALSE;'FALSE';sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;no_invoice_copies;CONSTANTE_FORCEE;0;0;sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;numeration_group;NULL_EXPLICITE;;NULL;sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;party_type_db;CONSTANTE_FORCEE;CUSTOMER;'CUSTOMER';sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;pay_term_id;CONSTANTE_FORCEE;30NETS;'30NETS';sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;paym_dev_days;NULL_EXPLICITE;;NULL;sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
clean_data.cus_ident_invoice_info;STANDARD;percent_tolerance;NULL_EXPLICITE;;NULL;sp_insert_cus_ident_invoice_info_from_client_phl.sql;17
