table_cible;variante;colonne;type_valeur_defaut;valeur_par_defaut;regle_sql;script_source;ligne_insert
clean_data.ifs_article_maitre;STANDARD;actif_achat;CONSTANTE_FORCEE;NON;'NON';alimenter_ifs_article_phl.sql;15
clean_data.ifs_article_maitre;STANDARD;actif_commercial;CONSTANTE_FORCEE;NON;'NON';alimenter_ifs_article_phl.sql;15
clean_data.ifs_article_maitre;STANDARD;actif_dans_centre;CONSTANTE_FORCEE;NON;'NON';alimenter_ifs_article_phl.sql;15
clean_data.ifs_article_maitre;STANDARD;actif_evaluation;CONSTANTE_FORCEE;NON;'NON';alimenter_ifs_article_phl.sql;15
clean_data.ifs_article_maitre;STANDARD;avec_stock;CONSTANTE_FORCEE;NON;'NON';alimenter_ifs_article_phl.sql;15
clean_data.ifs_article_maitre;STANDARD;langue;CONSTANTE_FORCEE;FR;'FR';alimenter_ifs_article_phl.sql;15
clean_data.ifs_article_maitre;STANDARD;nombre_centres_actifs;CONSTANTE_FORCEE;0;0;alimenter_ifs_article_phl.sql;15
clean_data.ifs_article_maitre;STANDARD;nombre_magasins;CONSTANTE_FORCEE;0;0;alimenter_ifs_article_phl.sql;15
clean_data.ifs_article_maitre;STANDARD;stock_total_bloque;CONSTANTE_FORCEE;0;0;alimenter_ifs_article_phl.sql;15
clean_data.ifs_article_maitre;STANDARD;stock_total_controle;CONSTANTE_FORCEE;0;0;alimenter_ifs_article_phl.sql;15
clean_data.ifs_article_maitre;STANDARD;stock_total_libre;CONSTANTE_FORCEE;0;0;alimenter_ifs_article_phl.sql;15
clean_data.ifs_article_maitre;STANDARD;valeur_stock_magasins_total;CONSTANTE_FORCEE;0;0;alimenter_ifs_article_phl.sql;15
clean_data.invent_part_plan;STANDARD;acquired_supply_type;CONSTANTE_FORCEE;Requisition;'Requisition';alimenter_inventory_part_planning.sql;30
clean_data.invent_part_plan;STANDARD;acquired_supply_type_db;CONSTANTE_FORCEE;R;'R';alimenter_inventory_part_planning.sql;30
clean_data.invent_part_plan;STANDARD;carry_rate;CONSTANTE_FORCEE;0;0;alimenter_inventory_part_planning.sql;30
clean_data.invent_part_plan;STANDARD;lot_size_auto;CONSTANTE_FORCEE;Manual Lot Size;'Manual Lot Size';alimenter_inventory_part_planning.sql;30
clean_data.invent_part_plan;STANDARD;lot_size_auto_db;CONSTANTE_FORCEE;N;'N';alimenter_inventory_part_planning.sql;30
