target_schema;target_table;target_column;target_label_fr;target_description;ifs_data_type;ifs_length;mandatory;primary_key;in_scope;default_value;sap_source_table;sap_source_field;join_context;mapping_rule;mapping_status;confidence;comments
clean_data;jt_task;task_seq;N° tâche;N° ligne demande;NUMBER;20;FALSE;TRUE;YES;;AFVC;AUFPL + APLZL;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Identifiant technique généré depuis la clé opération SAP, ex. dense_rank() ou hash numérique de AFVC.AUFPL||AFVC.APLZL. Ne pas reprendre tel quel si IFS génère la séquence.;A valider;Moyenne;No incrémental à reprendre ds autres tables
clean_data;jt_task;order_no;N° cde;Numéro de commande du client, qui est l'identification principale de la source de la demande de modification de la configuration.;NUMBER;20;FALSE;FALSE;YES;;AFKO;AUFNR;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Ordre SAP rattaché via AFKO.AUFPL = AFVC.AUFPL. A renseigner seulement si IFS attend un n° commande client, sinon laisser vide.;Optionnel / ambigu;Faible;ne pas renseigner
clean_data;jt_task;wo_no;N° BT;Affiche le numéro du bon de travail, une fois généré.;NUMBER;20;FALSE;FALSE;YES;;AFKO;AUFNR;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Bon de travail IFS = ordre de maintenance SAP. Jointure AFKO.AUFPL = AFVC.AUFPL. Conserver les zéros si WO_NO IFS les accepte, sinon conversion numérique.;Proposé;Forte;Reprendre No BT table ACTIVE_SEPARATE auquel tâche se connecte
clean_data;jt_task;site;Site;Code court du site.;VARCHAR2;5;TRUE;FALSE;YES;SJM;AFVC;WERKS;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Site/division SAP opération. Transcodifier WERKS vers site IFS si nécessaire. Défaut Excel: SJM.;Proposé;Forte;SJM ou CAST
clean_data;jt_task;company;Société;Les informations sur la société source où le type de taux de devise connecté est mis à jour à l'aide du workflow.;VARCHAR2;4000;FALSE;FALSE;NO;TRIM;Constante;TRIM;;Valeur par défaut du fichier IFS. Hors périmètre selon IN_SCOPE=NO.;Défaut;Forte;TRIM
clean_data;jt_task;organization_site;Site org. maint.;Site auquel l'organisation de maintenance appartient.;VARCHAR2;5;FALSE;FALSE;YES;SJM;AFVC;WERKS;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Même site que opération, à transcoder vers site IFS. Défaut Excel: SJM.;Proposé;Forte;SJM ou CAST
clean_data;jt_task;organization_id;Organisation maintenance;Identité de l'organisation de maintenance à laquelle l'employé est connecté. L'identité doit exister dans ***Données de base/Organisations de maintenance*** à partir de ***Organisation***. Pour saisir une nouvelle valeur, sélectionnez-la dans la liste de valeurs.;VARCHAR2;8;FALSE;FALSE;YES;;CRHD;ARBPL;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Organisation maintenance IFS proposée depuis poste de travail SAP. Jointure AFVC.ARBID = CRHD.OBJID et AFVC.WERKS = CRHD.WERKS, puis transcodification ARBPL -> organisation IFS.;A transcoder;Moyenne;Poste technique
clean_data;jt_task;priority_id;ID priorité;Degré de priorité que vous voulez attribuer au bon de travail. Ce champ est lié à l'onglet Données base bon travail et PM/Priorités et autorise uniquement les valeurs saisies ici;VARCHAR2;10;FALSE;FALSE;YES;;AFKO;APRIO;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Priorité ordre. Si AFIH est disponible plus tard, vérifier AFIH.PRIOK qui est souvent plus PM.;Proposé;Moyenne;à renseigner
clean_data;jt_task;work_type_id;Type de travail;Type de travail défini avec le modèle d'élément d'exécution.  Ce champ est lié à ***Données base ***bon travail et ***PM*** et autorise uniquement les valeurs saisies ici.;VARCHAR2;20;FALSE;FALSE;YES;;AFVC;STEUS;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Type de travail IFS proposé depuis clé de commande/contrôle opération SAP. Nécessite transcodification STEUS -> WORK_TYPE_ID.;A transcoder;Moyenne;à renseigner
clean_data;jt_task;description;Description;Champ de texte libre utilisé pour entrer une description;VARCHAR2;200;TRUE;FALSE;YES;;AFVC;LTXA1;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Texte court opération SAP.;Proposé;Forte;Description courte tâche = description courte BT
clean_data;jt_task;long_description;Description détaillée;Des informations supplémentaires sur le travail devant être effectué peuvent être saisies dans ce champ.;VARCHAR2;4000;FALSE;FALSE;YES;;AFVC;LTXA2;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";"Complément texte opération si alimenté. Les vrais textes longs SAP ne sont pas dans AFVC; extraire STXH/STXL si requis.";Proposé partiel;Moyenne;Description détaillée tâche
clean_data;jt_task;created_by;Créé par;Le créateur d'un média est enregistré dans le champ **Créé par**. Le créateur obtient automatiquement l'accès à un média, qu'il soit privé ou non privé. Seul le créateur ou un administrateur système peut modifier le champ **Créé par**.;VARCHAR2;30;FALSE;FALSE;NO;;AFRU ou source ETL;ERNAM;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";"Créateur depuis confirmation si disponible; sinon utilisateur ETL. Champ hors périmètre selon IN_SCOPE=NO.";Optionnel;Faible;ne pas renseigner
clean_data;jt_task;created_date;Date de création;Date de création de l'enregistrement. Cette valeur est déterminée automatiquement lors de la création de l'enregistrement. Ce champ ne peut pas être mis à jour.;DATE;21;FALSE;FALSE;NO;;AFRU ou source ETL;ERSDA;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";"Date création confirmation ou date chargement; hors périmètre selon IN_SCOPE=NO.";Optionnel;Faible;ne pas renseigner
clean_data;jt_task;prepared_by;Préparé par;La signature de la **personne** qui a préparé la commande d'isolation. Utilisez la liste de valeurs pour sélectionner une valeur appropriée. Si ce champ est vide, la signature de l'utilisateur connecté est extraite lorsque l'ordre d'isolation du statut est défini sur **Préparé**.;VARCHAR2;20;FALSE;FALSE;YES;;AFVC;AFNAM;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";"Demandeur / responsable opération SAP si disponible; sinon valeur par défaut projet.";Proposé;Moyenne;ne pas renseigner
clean_data;jt_task;reported_by;Rapporté par;ID utilisateur de l'utilisateur qui a signalé les informations relatives aux temps d'arrêt de l'équipement.;VARCHAR2;20;FALSE;FALSE;YES;KAPEIFS;AFRU;ERNAM;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";"Utilisateur de confirmation; sinon défaut Excel KAPEIFS.";Proposé;Moyenne;ne pas renseigner
clean_data;jt_task;reported_date;Date rapport;Date et heure auxquelles l'utilisateur a signalé les informations relatives aux temps d'arrêt de l'équipement.;DATE;21;FALSE;FALSE;YES;;AFRU;ERSDA + ERZET;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";"Date/heure de saisie confirmation; sinon date ordre AFKO.GSTRP selon règle métier.";Proposé;Moyenne;ne pas renseigner
clean_data;jt_task;mpb_latest_update;Dernière màj MPB;#N/A;DATE;21;FALSE;FALSE;YES;;raw_data;updated_at;;Date de dernière mise à jour technique du staging, si besoin.;Optionnel;Faible;ne pas renseigner
clean_data;jt_task;planned_start;Début prévu;Date à laquelle le travail planifié sur l'élément d'exécution doit commencer.;DATE;21;FALSE;FALSE;YES;;AFVV;FSAVD + FSAVZ;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Début planifié opération. Combiner date et heure SAP. Fallback AFKO.GSTRP + GSUZP.;Proposé;Forte;DD/MM/YYYY hh:mm
clean_data;jt_task;planned_finish;Fin prévue;Date à laquelle le travail planifié sur l'élément d'exécution doit être terminé.;DATE;21;FALSE;FALSE;YES;;AFVV;FSEDD + FSEDZ;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";Fin planifiée opération. Combiner date et heure SAP. Fallback AFKO.GLTRP + GLUZP.;Proposé;Forte;DD/MM/YYYY hh:mm
clean_data;jt_task;duration;Durée;Nombre d'heures planifiées pour l'opération.;NUMBER;20;FALSE;FALSE;YES;;AFVV;DAUNO / DAUNE ou ARBEI / ARBEH;"AFVC opération centrale; AFKO via AFKO.AUFPL=AFVC.AUFPL; AFVV via AFVV.AUFPL=AFVC.AUFPL AND AFVV.APLZL=AFVC.APLZL; AFRU via AFRU.RUECK=AFVC.RUECK AND AFRU.RMZHL=AFVC.RMZHL ou AFRU.AUFPL/APLZL; CRHD via CRHD.OBJID=AFVC.ARBID AND CRHD.WERKS=AFVC.WERKS; JEST/JCDS via OBJNR.";"Durée opération. Choisir DAUNO si durée, sinon ARBEI si charge/travail; convertir en heures.";A valider;Moyenne;nbre heure
