table_cible;variante;colonne;type_valeur_defaut;valeur_par_defaut;regle_sql;script_source;ligne_insert
clean_data.ifs_fournisseurs;STANDARD;address_id;CONSTANTE_FORCEE;01;'01';01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;cle_pays;AUCUNE_VALEUR_PAR_DEFAUT;;COALESCE(NULLIF(TRIM(sf.code_pays), ''), a.land1);01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;code_postal;AUCUNE_VALEUR_PAR_DEFAUT;;COALESCE(NULLIF(TRIM(sf.code_postal), ''), a.pstlz);01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;code_tva_ifs;AUCUNE_VALEUR_PAR_DEFAUT;;sf.code_tva_ifs;01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;company;CONSTANTE_FORCEE;TRIMET;'TRIMET';01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;conditions_paiement_achats;AUCUNE_VALEUR_PAR_DEFAUT;;COALESCE(NULLIF(TRIM(sf.condition_paiement_ifs), ''), sap_data.conditions_paiement_achats);01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;conditions_paiement_compta;AUCUNE_VALEUR_PAR_DEFAUT;;COALESCE(NULLIF(TRIM(sf.condition_paiement_ifs), ''), sap_data.conditions_paiement_compta);01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;date_creation_sap;REGLE_CONDITIONNELLE;;CASE WHEN TRIM(COALESCE(a.erdat, '')) ~ '^[0-9]{8}$' AND TRIM(a.erdat) <> '00000000' THEN TO_DATE(TRIM(a.erdat), 'YYYYMMDD') WHEN TRIM(COALESCE(a.erdat, '')) ~ '^[0-9]{4}-[0-9]{2}-[0-9]{2}$' THEN TO_DATE(TRIM(a.erdat), 'YYYY-MM-DD') ELSE sf.date_import::date END;01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;destinataire_paiement;AUCUNE_VALEUR_PAR_DEFAUT;;sap_data.destinataire_paiement;01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;incoterms_1;AUCUNE_VALEUR_PAR_DEFAUT;;sap_data.incoterms_1;01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;incoterms_2;AUCUNE_VALEUR_PAR_DEFAUT;;sap_data.incoterms_2;01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;language_sap;AUCUNE_VALEUR_PAR_DEFAUT;;COALESCE( public.get_transcodification('LANGUAGE', NULLIF(TRIM(sf.langue), '')), public.get_transcodification('LANGUAGE', a.spras) );01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;localite;AUCUNE_VALEUR_PAR_DEFAUT;;COALESCE(NULLIF(TRIM(sf.localite), ''), a.ort01);01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;nom_1;AUCUNE_VALEUR_PAR_DEFAUT;;COALESCE(NULLIF(TRIM(sf.denomination_sociale), ''), a.name1);01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;numero_compte_fournisseur;AUCUNE_VALEUR_PAR_DEFAUT;;sf.numero_compte_sap;01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;organisation_achats;AUCUNE_VALEUR_PAR_DEFAUT;;sap_data.organisation_achats;01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;rue;AUCUNE_VALEUR_PAR_DEFAUT;;COALESCE( NULLIF(TRIM(sf.libelle_concatene), ''), NULLIF(TRIM(CONCAT_WS(' ', sf.numero_voie, sf.indice_numero_voie, sf.type_voie, sf.libelle_voie)), ''), a.stras );01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;siret;AUCUNE_VALEUR_PAR_DEFAUT;;COALESCE(NULLIF(TRIM(sf.numero_siret), ''), a.stcd1);01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;societe;AUCUNE_VALEUR_PAR_DEFAUT;;sap_data.societe;01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;telephone_1;AUCUNE_VALEUR_PAR_DEFAUT;;COALESCE(NULLIF(TRIM(sf.telephone_1), ''), a.telf1);01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;telephone_2;AUCUNE_VALEUR_PAR_DEFAUT;;COALESCE(NULLIF(TRIM(sf.telephone_2), ''), NULLIF(TRIM(sf.telephone_3), ''), a.telf2);01_alimenter_ifs_fournisseurs.sql;7
clean_data.ifs_fournisseurs;STANDARD;tva;AUCUNE_VALEUR_PAR_DEFAUT;;COALESCE(NULLIF(TRIM(sf.numero_tva_intra), ''), a.stceg);01_alimenter_ifs_fournisseurs.sql;7
clean_data.supplier_info_general;STANDARD;association_no;AUCUNE_VALEUR_PAR_DEFAUT;;SUBSTRING(f.siret, 1, 20);02_alimenter_supplier_info_general.sql;15
clean_data.supplier_info_general;STANDARD;b2b_supplier;CONSTANTE_FORCEE;FALSE;'FALSE';02_alimenter_supplier_info_general.sql;15
clean_data.supplier_info_general;STANDARD;b2b_supplier_db;CONSTANTE_FORCEE;FALSE;'FALSE';02_alimenter_supplier_info_general.sql;15
clean_data.supplier_info_general;STANDARD;business_classification;NULL_EXPLICITE;NULL;NULL;02_alimenter_supplier_info_general.sql;15
clean_data.supplier_info_general;STANDARD;corporate_form;NULL_EXPLICITE;NULL;NULL;02_alimenter_supplier_info_general.sql;15
clean_data.supplier_info_general;STANDARD;country;AUCUNE_VALEUR_PAR_DEFAUT;;SUBSTRING(f.cle_pays, 1, 2);02_alimenter_supplier_info_general.sql;15
clean_data.supplier_info_general;STANDARD;country_db;AUCUNE_VALEUR_PAR_DEFAUT;;SUBSTRING(f.cle_pays, 1, 2);02_alimenter_supplier_info_general.sql;15
clean_data.supplier_info_general;STANDARD;created_by;CONSTANTE_FORCEE;etl_supplier_base;'etl_supplier_base';02_alimenter_supplier_info_general.sql;15
clean_data.supplier_info_general;STANDARD;created_timestamp;AUCUNE_VALEUR_PAR_DEFAUT;;COALESCE(f.date_creation_sap::TIMESTAMP, CURRENT_TIMESTAMP);02_alimenter_supplier_info_general.sql;15
